id,len,date,orig_file,lang,title
 ,438,2007-01-11,../html/2007/2007_17702_DE.html,DE,Materielle Anpassungen der Gesetzgebung an die neue Kantonsverfassung sind abgeschlossen
 ,967,2007-01-11,../html/2007/2007_17735_DE.html,DE,Weitere veterinärmedizinische Abklärungen zu den in Davos verendeten Schafen
 ,2191,2007-01-11,../html/2007/2007_17709_IT.html,IT,Conclusi gli adeguamenti materiali della legislazione alla nuova Costituzione cantonale
 ,5678,2007-01-11,../html/2007/2007_17722_RM.html,RM,Las adattaziuns materialas da la legislaziun a la nova constituziun chantunala èn finidas
 ,1733,2007-01-15,../html/2007/2007_17751_DE.html,DE,Regelung für Rauchverbot in öffentlichen Räumen und auf Schularealen kommt vor den Grossen Rat
 ,2389,2007-01-15,../html/2007/2007_17758_IT.html,IT,Verrà presentata al Gran Consiglio la regolamentazione del divieto di fumo negli spazi pubblici e nelle aree scolastiche
 ,4457,2007-01-15,../html/2007/2007_17767_RM.html,RM,La regulaziun d'in scumond da fimar en localitads publicas e sin areals da scola vegn tractada en il cussegl grond
 ,7028,2007-01-15,../html/2007/2007_17776_DE.html,DE,Antworten auf parlamentarische Vorstösse auf www.gr.ch
 ,683,2007-01-22,../html/2007/2007_17411_RM.html,RM,"Preschentaziun dal sboz d'in plan per il svilup dal guaud Lumnezia - Val S. Pieder, ils 25 da schaner 2007 a las 20.15 a Vella"
 ,4871,2007-01-22,../html/2007/2007_17396_DE.html,DE,Vorstellung Entwurf Waldentwicklungsplan Lumnezia-Vals vom 25. Januar 2007 in Vella
 ,1928,2007-02-05,../html/2007/2007_17606_IT.html,IT,La Commissione preparatoria sostiene le misure proposte nel Rapporto sulle famiglie nei Grigioni
 ,2052,2007-02-05,../html/2007/2007_17608_DE.html,DE,Aktuelle Verhandlungsgrundlagen des Grossen Rates für die Februar-Session 2007
 ,2808,2007-02-05,../html/2007/2007_17604_DE.html,DE,Vorberatungskommission unterstützt die im Familienbericht Graubünden vorgeschlagenen Massnahmen
 ,3029,2007-02-05,../html/2007/2007_17607_RM.html,RM,La cumissiun predeliberanta sustegna las mesiras che vegnan proponidas en il rapport grischun da famiglia
 ,3274,2007-02-08,../html/2007/2007_17614_IT.html,IT,Riuscito il referendum contro la legge sulle lingue
 ,3396,2007-02-08,../html/2007/2007_17616_DE.html,DE,Regierung beschliesst Bau der Umfahrung Silvaplana
 ,9239,2007-02-08,../html/2007/2007_17613_DE.html,DE,Referendum gegen das Sprachengesetz zustande gekommen
 ,4375,2007-02-08,../html/2007/2007_17618_RM.html,RM,La regenza concluda la construcziun dal sviament da Silvaplauna
 ,9706,2007-02-08,../html/2007/2007_17615_RM.html,RM,Il referendum cunter la lescha da linguas è reussì
 ,10045,2007-02-08,../html/2007/2007_17617_IT.html,IT,Il Governo decide la costruzione della circonvallazione di Silvaplana
 ,1348,2007-02-15,../html/2007/2007_17622_RM.html,RM,Da vischnancas e da regiuns
 ,1358,2007-02-15,../html/2007/2007_17619_DE.html,DE,Aus Gemeinden und Regionen
 ,1478,2007-02-15,../html/2007/2007_17624_IT.html,IT,Deve essere rafforzata l'indipendenza del Controllo delle finanze
 ,1646,2007-02-15,../html/2007/2007_17626_DE.html,DE,Parlamentarische Vorstösse der Februar-Session 2007 auf www.gr.ch
 ,1817,2007-02-15,../html/2007/2007_17625_RM.html,RM,L'independenza da la controlla da finanzas duai vegnir rinforzada
 ,4397,2007-02-15,../html/2007/2007_17621_IT.html,IT,Dai comuni e dalle regioni
 ,4660,2007-02-15,../html/2007/2007_17623_DE.html,DE,Unabhängigkeit der Finanzkontrolle soll gestärkt werden
 ,4263,2007-02-16,../html/2007/2007_17632_DE.html,DE,Neues Gesetz über die Berufsbildung und weiterführende Bildungsangebote kommt vor den Grossen Rat
 ,8172,2007-02-16,../html/2007/2007_17627_DE.html,DE,Regierung empfiehlt finanzielle Sanierung des Schulhotels Passugg
 ,8739,2007-02-16,../html/2007/2007_17628_IT.html,IT,Il Governo raccomanda il risanamento finanziario dell'albergo-scuola Passugg
 ,4005,2007-02-16,../html/2007/2007_17630_IT.html,IT,La nuova legge sulla formazione professionale e sulle offerte di formazione continua approda in Gran Consiglio
 ,4048,2007-02-16,../html/2007/2007_17631_RM.html,RM,Il cussegl grond tracta la nova lescha davart la furmaziun professiunala e davart purschidas da furmaziun cuntinuanta
 ,8916,2007-02-16,../html/2007/2007_17629_RM.html,RM,La regenza recumonda da sanar las finanzas da la chasa da scola d'hotellaria a Passugg
 ,999,2007-02-20,../html/2007/2007_17634_IT.html,IT,Il Governo conferma: nessun mandato di prestazioni per la creazione di una scuola specializzata superiore in cure infermieristiche a Ilanz
 ,2044,2007-02-20,../html/2007/2007_17633_DE.html,DE,Regierung bestätigt: Kein Leistungsauftrag für den Aufbau einer höheren Fachschule für Pflege in Ilanz
 ,2383,2007-02-20,../html/2007/2007_17635_RM.html,RM,La regenza conferma: Nagina incarica da prestaziun per instituir ina scola professiunala superiura da tgira a Glion
 ,2403,2007-02-20,../html/2007/2007_17636_DE.html,DE,Antworten auf parlamentarische Vorstösse auf www.gr.ch
 ,2365,2007-03-08,../html/2007/2007_17658_IT.html,IT,Il Governo sostiene la revisione della legge federale legge federale sull'assicurazione contro gli infortunisull'assicurazione contro gli infortuni
 ,2548,2007-03-08,../html/2007/2007_17659_DE.html,DE,Regierung empfiehlt Volksinitiative für einen Innovationsfonds für Graubünden zur Ablehnung
 ,9067,2007-03-08,../html/2007/2007_17656_DE.html,DE,Regierung unterstützt Revision des Bundesgesetzes über die Unfallversicherung
 ,2554,2007-03-08,../html/2007/2007_17660_IT.html,IT,Il Governo raccomanda di respingere l'iniziativa popolare per un fondo di innovazione per i Grigioni
 ,7260,2007-03-08,../html/2007/2007_17661_RM.html,RM,La regenza recumonda da refusar l'iniziativa dal pievel per in fond d'innovaziun per il Grischun
 ,9471,2007-03-08,../html/2007/2007_17657_RM.html,RM,La regenza sustegna la revisiun da la lescha federala davart l'assicuranza d'accidents
 ,863,2007-03-15,../html/2007/2007_17674_RM.html,RM,La revisiun parziala da la lescha federala davart las barrieras tecnicas per il commerzi vegn approvada
 ,1335,2007-03-15,../html/2007/2007_17673_IT.html,IT,Sostenuta la revisione parziale della legge federale sugli ostacoli tecnici al commercio
 ,1919,2007-03-15,../html/2007/2007_17675_DE.html,DE,44. Plenarkonferenz der Ostschweizer Kantonsregierungen - Ostschweizer Regierungskonferenz unter Glarner Führung
 ,2376,2007-03-15,../html/2007/2007_17672_DE.html,DE,Teilrevision des Bundesgesetzes über die technischen Handelshemmnisse wird befürwortet
 ,230,2007-03-19,../html/2007/2007_17678_IT.html,IT,Colloquio tra il Presidente del Governo Martin Schmid e rappresentanti del Comune di Valzeina
 ,256,2007-03-19,../html/2007/2007_17679_RM.html,RM,Discussiun dal president da la regenza Martin Schmid cun ina represchentanza da la vischnanca da Valzeina
 ,269,2007-03-19,../html/2007/2007_17680_DE.html,DE,Regierung des Kantons Aargau besucht Bündner Regierung
 ,1824,2007-03-19,../html/2007/2007_17681_IT.html,IT,Il Governo del Cantone di Argovia fa visita al Governo grigionese
 ,2007,2007-03-19,../html/2007/2007_17676_DE.html,DE,Antworten auf parlamentarische Vorstösse auf www.gr.ch
 ,2043,2007-03-19,../html/2007/2007_17677_DE.html,DE,Aussprache von Regierungspräsident Martin Schmid mit Vertretern der Gemeinde Valzeina
 ,5127,2007-03-19,../html/2007/2007_17682_RM.html,RM,La regenza dal chantun Argovia visita la regenza grischuna
 ,912,2007-03-30,../html/2007/2007_17694_DE.html,DE,Kommission für Gesundheit und Soziales befürwortet das Rauchverbot in öffentlich zugänglichen Räumen
 ,1969,2007-03-30,../html/2007/2007_17697_RM.html,RM,La cumissiun per sanadad e fatgs socials beneventa il scumond da fimar en localitads ch'èn accessiblas al public
 ,2040,2007-03-30,../html/2007/2007_17699_IT.html,IT,La Commissione per la formazione e la cultura discute la legge sulla formazione professionale
 ,2108,2007-03-30,../html/2007/2007_17701_DE.html,DE,Aktuelle Verhandlungsgrundlagen des Grossen Rates für die April-Session 2007
 ,10362,2007-03-30,../html/2007/2007_17695_IT.html,IT,La Commissione per la sanità e la politica sociale approva il divieto di fumo negli spazi accessibili al pubblico
 ,11073,2007-03-30,../html/2007/2007_17698_DE.html,DE,Kommission für Bildung und Kultur berät das Berufsbildungsgesetz
 ,11494,2007-03-30,../html/2007/2007_17700_RM.html,RM,La cumissiun per furmaziun e cultura tracta la lescha chantunala davart la furmaziun professiunala
 ,322,2007-04-04,../html/2007/2007_17706_DE.html,DE,Regierung schlägt rechtliche Verselbstständigung der Kantonalen Pensionskasse Graubünden vor
 ,665,2007-04-04,../html/2007/2007_17707_IT.html,IT,Il Governo propone l'indipendenza giuridica della Cassa cantonale pensioni dei Grigioni
 ,1034,2007-04-04,../html/2007/2007_17710_DE.html,DE,"Finanzierung der Spitex, der Mütter- und Väterberatung sowie der Alters- und Pflegeheime wird neu geregelt"
 ,1149,2007-04-04,../html/2007/2007_17712_RM.html,RM,"La finanziaziun da la spitex, da la cussegliaziun per mammas e per babs sco er da las chasas da persunas attempadas e da tgira vegn reglada da nov"
 ,1249,2007-04-04,../html/2007/2007_17708_RM.html,RM,La regenza propona l'independenza giuridica per la cassa da pensiun chantunala dal Grischun
 ,2344,2007-04-04,../html/2007/2007_17711_IT.html,IT,"Ridisciplinato il finanziamento dello Spitex, della consulenza alle madri e ai padri e delle case per anziani e di cura"
 ,909,2007-04-05,../html/2007/2007_17714_IT.html,IT,Il Governo propone di ampliare il laboratorio protetto ARBES di Rothenbrunnen
 ,2223,2007-04-05,../html/2007/2007_17713_DE.html,DE,Regierung schlägt bauliche Erweiterung der Arbeits- und Beschäftigungsstätte ARBES in Rothenbrunnen vor
 ,4994,2007-04-05,../html/2007/2007_17715_RM.html,RM,La regenza propona d'engrondir il lieu da lavur e d'occupaziun ARBES a Giuvaulta
 ,5238,2007-04-05,../html/2007/2007_17716_DE.html,DE,Neue Botschaften der Regierung an den Grossen Rat auf www.gr.ch
 ,2411,2007-04-19,../html/2007/2007_17720_DE.html,DE,Regierung verabschiedet Botschaft zur Produktgruppenstruktur und zu den Wirkungen von GRiforma
 ,4540,2007-04-19,../html/2007/2007_17724_DE.html,DE,Absolutes Feuerverbot in ganz Graubünden
 ,5151,2007-04-19,../html/2007/2007_17721_IT.html,IT,Il Governo licenzia il messaggio concernente la struttura dei gruppi di prodotti e gli effetti di GRiforma
 ,6146,2007-04-19,../html/2007/2007_17723_RM.html,RM,La regenza deliberescha la missiva tar la structura da las gruppas da products e tar ils effects da GRiforma
 ,3277,2007-04-20,../html/2007/2007_17728_DE.html,DE,Parlamentarische Vorstösse der April-Session 2007 auf www.gr.ch
 ,5815,2007-04-25,../html/2007/2007_17732_DE.html,DE,Verwaltungskommission der Ostschweizer BVG- und Stiftungsaufsicht konstituiert sich
 ,1728,2007-05-02,../html/2007/2007_17743_DE.html,DE,Grossrätliche Vorberatungskommission befürwortet die Verselbstständigung der Kantonalen Pensionskasse
 ,7098,2007-05-02,../html/2007/2007_17740_DE.html,DE,Kanton Graubünden bietet bei Abstimmungen neue Dienstleistung für lesebehinderte Bürger an
 ,7358,2007-05-02,../html/2007/2007_17741_IT.html,IT,Votazioni cantonali: il Cantone dei Grigioni offre un nuovo servizio ai cittadini con difficoltà di lettura
 ,1838,2007-05-02,../html/2007/2007_17745_RM.html,RM,La cumissiun predeliberanta dal cussegl grond sustegna l'independenza da la cassa da pensiun chantunala
 ,1876,2007-05-02,../html/2007/2007_17744_IT.html,IT,La Commissione preparatoria del Gran Consiglio sostiene l'autonomizzazione della Cassa cantonale pensioni
 ,8022,2007-05-02,../html/2007/2007_17742_RM.html,RM,Votaziuns chantunalas: Il chantun porscha in nov servetsch per persunas che han in impediment da leger
 ,1671,2007-05-04,../html/2007/2007_17749_DE.html,DE,Die Chancen der Porta Alpina sind intakt
 ,1645,2007-05-07,../html/2007/2007_17750_DE.html,DE,Das absolute Feuerverbot ist aufgehoben
