0	0-0 1-1 2-6 3-7 4-11 4-9 5-2
1	0-0 1-1 3-5 4-6 5-7 6-12 7-10 7-8 8-2 9-13
2	0-0 1-1 1-3 10-16 10-18 10-20 11-5 12-21 2-4 3-6 4-7 5-11 6-10 6-8 7-12 8-14 9-15
3	0-6 1-7 10-2 11-4 12-17 13-18 14-19 2-10 2-8 3-5 4-16 5-11 5-15 7-13 7-15 8-0 9-1
4	0-0 1-1 10-13 10-15 11-7 12-18 2-2 3-3 4-4 4-6 6-10 7-11 8-12 9-17
5	0-0 1-1 10-4 11-15 2-2 3-3 4-5 4-6 5-8 6-9 7-11 8-13 9-14
6	0-0 1-2 10-17 11-18 12-19 2-1 2-4 3-5 4-6 5-8 6-10 7-11 7-14 8-15 9-16
7	0-0 1-1 10-13 11-12 12-14 2-3 3-4 4-5 5-6 6-7 7-10 7-8 9-11
8	0-0 1-2 2-4 3-3 4-6 5-7 6-8 7-12 8-9 9-13
9	0-0 1-1 2-6 3-7 4-8 5-3 5-4 6-9
10	0-0 0-2 1-3 2-7 3-8 4-4 4-6 5-9
11	0-0 1-1 2-2 2-4 3-5 4-7 5-6
12	0-0 0-1 1-3 10-20 11-19 12-9 13-10 14-21 2-6 3-7 4-8 5-11 6-15 7-12 7-14 8-16 9-17
13	0-0 1-4 2-1 2-3 3-5 4-6 5-7
14	0-1 1-2 1-4 10-12 11-13 12-14 13-19 2-5 3-8 3-9 4-15 5-16 6-17 7-18 8-11 9-10
15	0-0 1-1 1-3 10-15 2-4 3-5 4-6 5-7 6-8 7-9 8-10 9-11 9-14
16	0-0 1-1 10-14 2-2 3-3 4-4 4-5 5-6 6-7 7-8 8-10 9-11 9-13
17	10-11 11-13 12-14 12-16 13-17 2-2 3-1 4-3 6-7 7-8 8-9 9-10
18	0-0 1-1 1-3 2-4 3-10 4-6 5-7 6-9 7-11
19	0-0 1-1 10-14 2-2 3-4 4-7 5-6 6-8 7-12 7-13 8-10 9-3
20	0-0 1-1 2-2 3-3 4-4
21	0-0 0-3 1-4 2-5 3-6 4-7 5-9
22	0-0 1-1 10-12 11-13 12-14 2-2 3-3 4-4 4-6 5-7 6-8 7-9 8-10 9-11
23	0-0 1-1 10-13 2-2 3-3 4-4 6-7 7-9 8-12 8-8 9-6
24	0-1 1-2 2-3 2-4 3-5 4-6 5-7 6-8 7-9
25	0-3 1-2 2-0 2-1 3-4 4-6 5-5 6-7 7-9 8-10
26	0-0 1-1 2-2 3-4 4-6 4-7 5-10 6-11 6-12 7-13
27	0-0 1-1 10-15 11-16 2-2 2-3 3-4 4-5 5-7 6-8 7-9 8-10 8-13
28	0-0 1-4 2-6 3-15 3-16 4-11 4-9 5-5 6-17
29	0-0 1-1 2-2 3-4 4-6 5-11 5-9 6-5 7-12
30	0-0 1-1 2-2 2-3 3-4 4-5 5-6 6-9 7-10 8-8 9-11
31	0-0 1-1 2-2 3-3 4-4 5-5 6-6 7-7 8-8
32	0-0 1-3 2-2 3-4 4-6 5-10 6-11 7-13 7-8 8-5
33	0-0 1-1 1-4 2-7 3-6 4-11 5-8 6-9 7-10 8-12
34	0-0 1-1 1-2 2-3 3-4 4-6 5-5 6-9 7-6 8-10
35	0-0 1-1 10-12 11-15 2-2 3-3 4-4 5-5 6-7 7-10 7-8 8-13 9-14
36	0-0 1-1 10-10 11-11 12-13 13-14 2-2 3-3 4-6 5-5 6-7 8-8 9-9
37	0-0 1-1 1-4 2-6 3-7 4-8 5-9 6-11 7-10 8-12
38	0-0 10-9 11-10 11-13 12-14 2-1 3-2 4-3 5-4 6-5 7-6 8-7 9-8
39	0-1 0-3 1-5 2-6 3-7 4-10 5-9 6-8 7-11
40	0-1 1-3 2-4 3-5 4-6 5-7 6-9 7-10 8-8 9-11
41	0-1 1-2 10-17 2-0 2-6 3-7 4-10 5-11 6-12 7-16 8-13 8-15 9-8
42	0-0 1-1 2-2 3-3 4-4 5-5 6-7 7-8 8-10 9-11
43	11-17 2-6 2-8 3-5 4-9 6-11 7-13 8-14 8-16
44	0-0 10-10 11-4 12-11 2-1 3-2 4-3 5-5 6-6 7-7 8-8 9-9
45	0-0 10-14 11-5 13-16 3-8 4-7 5-9 6-10 7-11 8-12 9-15
46	0-1 1-2 2-4 3-3 4-5 5-6 6-7 7-8
47	0-0 1-1 2-2 3-3 4-11 4-12 5-4 5-6 6-8 7-9 8-13
48	0-0 10-11 11-12 12-17 3-1 3-2 3-4 3-5 4-8 5-9 6-13 7-14 8-15 8-16 9-10
49	0-0 1-1 10-5 11-7 12-8 13-3 14-15 2-2 3-9 4-11 5-12 6-14 7-13 9-6
50	0-0 1-2 10-23 11-9 12-8 13-24 2-6 3-7 4-10 5-15 6-11 6-13 6-14 6-19 7-20 8-21 9-22
51	0-0 1-1 2-2 3-3 4-5 5-6 6-7 7-4 8-8
52	0-0 1-1 10-13 10-15 11-11 12-10 13-16 2-2 3-3 4-5 5-7 6-6 7-4 8-8 9-12
53	0-0 1-2 10-11 2-1 3-3 4-8 5-10 6-5 7-6 8-7 9-4
54	0-0 1-1 10-11 2-2 3-3 4-4 5-10 6-9 7-6 8-5 8-8 9-3
55	0-0 1-2 10-9 2-1 3-3 7-5 8-6 9-4
56	0-0 1-1 2-2 3-5 4-6 5-7 6-10 6-8 7-4 8-3 9-11
57	0-0 1-1 2-3 2-4 4-10 5-9 6-11
58	0-0 0-1 0-2 1-3 2-6 3-7 4-8 5-9 6-4 6-5 7-10
59	0-0 1-1 10-10 3-4 4-5 4-6 5-9 7-3 8-2
60	0-0 1-1 2-3 3-4 4-10 4-7 5-11 6-13 7-14
61	0-0 1-7 10-18 11-17 12-16 13-13 14-22 2-1 3-2 4-4 4-8 5-10 6-11 7-12 8-14 9-21
62	0-0 1-1 10-14 11-15 12-17 13-5 14-18 2-2 3-4 4-6 5-7 6-8 7-9 8-11 9-13
63	0-0 1-2 2-1 3-3 3-4 4-5 5-6 6-7 7-8 8-9 9-10
64	0-4 1-5 10-2 11-10 12-11 12-12 13-9 14-15 2-6 3-7 4-8 5-3 5-9 6-13 7-14 8-0 9-1
65	0-0 1-1 2-3 3-6 4-7 5-9 6-8
66	0-0 1-1 1-4 10-14 11-12 12-11 14-19 2-8 3-9 4-10 6-15 7-16 8-18
67	0-0 1-1 2-5 3-6 4-3 4-8 5-9 6-10 6-11 7-12 8-13
68	0-0 1-1 10-15 11-16 12-17 12-18 13-19 14-20 2-2 3-3 4-4 4-5 5-6 6-9 7-11 8-12 9-14 9-8
69	0-0 1-1 2-2 3-3 4-4 5-6 5-8 6-9 7-10
70	0-0 1-1 10-16 11-11 11-9 12-7 13-17 2-2 3-4 4-3 6-5 7-12 8-13 9-14
71	0-0 1-1 10-18 10-20 11-21 12-22 13-15 13-16 14-23 2-3 3-4 4-8 5-9 6-11 6-6 7-13 8-14 9-17
72	0-0 1-1 1-2 2-4 3-5 3-6 4-7 5-11 6-12 7-14 7-9 8-3 9-15
73	1-5 10-6 11-13 2-0 3-1 4-2 5-8 6-9 7-12 8-11 9-7
74	0-0 1-1 1-2 10-14 11-11 11-13 12-15 2-3 3-4 4-6 5-7 6-8 7-5 8-9 9-10
75	0-0 1-3 1-5 2-6 3-9 4-8 6-1
76	0-0 1-2 10-10 11-11 12-15 13-16 14-17 2-1 3-3 4-4 5-5 6-6 7-7 8-14 9-9
77	0-0 1-1 2-2 3-4 4-3 5-5
78	0-0 1-1 10-12 11-10 12-7 13-13 2-2 5-3 6-5 7-6 8-8 9-9
79	0-0 1-1 2-2 3-3 4-4 6-6 6-8 7-9
80	1-2 2-0 4-1 5-3 6-4 7-5 8-6 9-7
81	0-0 1-2 10-18 11-19 12-20 2-3 3-4 4-5 5-9 6-6 7-10 8-15 9-12 9-14
82	0-0 1-1 2-2 3-3 4-4 4-6 5-7 6-8 7-9 8-10
83	0-0 0-3 1-4 2-5 3-7 4-8
84	0-0 1-1 10-16 14-17 3-4 4-6 5-5 6-7 7-8 8-9 9-12 9-14
85	0-0 1-1 2-5 3-2 3-4 4-6 5-12 6-10 6-8 7-15 8-14 9-16
86	0-7 1-9 10-12 10-17 11-10 12-18 2-8 4-0 5-1 6-2 6-4 7-5 8-11 9-14
87	0-1 0-3 1-4 2-6 4-9 5-8 6-10 7-12 7-15
88	0-0 1-1 2-2 3-4 4-5 4-7 5-8 5-9 6-10 7-12 8-3 9-13
89	0-2 1-3 2-4 3-6 4-7 5-8 6-0
90	0-0 1-6 10-15 11-16 12-17 12-18 13-19 2-8 3-2 3-3 4-11 6-10 7-12 8-13 9-14
91	0-0 0-3 1-4 2-6 3-8 4-9
92	0-1 1-0 11-8 12-12 2-2 3-3 4-5 5-4 6-6 7-7 8-9 9-11
93	0-0 1-1 10-9 11-10 2-3 3-2 4-4 6-5 7-6 8-7 9-8
94	0-0 2-3 3-8 4-9 5-11 5-6 7-5 8-12
95	0-0 1-2 10-11 11-12 12-13 2-1 3-3 4-4 5-8 6-7 7-6 8-5
96	0-0 2-5 3-8 4-9 5-10 5-12 6-13
97	0-0 1-1 1-3 10-12 10-14 12-18 2-4 4-5 6-17 7-16 8-10 9-11
98	0-0 1-1 10-9 11-7 13-6 14-11 2-2 4-4 5-5 6-3 8-8 9-10
99	0-0 1-1 1-3 10-11 2-4 4-5 5-6 6-7 7-8 8-9 9-10
100	0-0 10-11 13-12 2-1 2-3 3-5 4-6 5-7 7-8 8-9 9-10
101	0-0 0-3 1-4 2-5 3-7 4-8
102	0-0 1-1 2-2 3-3 4-5 4-6 5-7
103	0-0 1-1 10-8 11-12 2-2 3-3 4-4 5-5 6-6 7-7 8-10 9-11
104	1-0 2-1 3-2 4-3 5-4 6-7 6-8 7-5 8-9
105	0-0 1-1 10-11 11-12 13-11 14-13 2-2 3-3 4-4 5-6 5-7 6-5 7-8 8-9 9-10
106	0-0 1-1 10-14 10-17 11-6 12-18 2-2 3-3 4-4 5-7 6-8 7-11 8-10 9-12
107	0-0 1-1 10-13 11-14 12-16 13-17 2-2 3-6 4-4 5-5 6-7 7-8 8-9 9-11
108	0-0 1-2 10-12 11-13 12-15 13-11 13-14 14-16 2-4 3-5 4-6 4-8 6-3 7-3 9-9
109	0-2 1-8 2-4 3-5 3-7 4-9 5-10 6-8 7-11
110	0-0 1-2 2-3 2-4 3-5 4-6 5-7
111	0-0 10-11 11-12 12-13 12-15 13-16 2-2 3-1 4-3 5-4 6-10 6-9 7-5 8-6 9-7
112	0-0 1-1 10-14 11-15 12-17 13-16 14-18 2-2 3-3 3-5 4-6 5-7 6-8 7-9 8-10 9-13
113	0-0 1-2 2-7 3-10 3-8 4-4 5-5 6-6 7-3 8-11
114	0-0 1-1 10-10 11-17 2-2 3-3 4-4 4-6 4-8 5-9 6-11 6-12 6-13 7-14 8-15 9-16
115	0-0 1-2 10-12 11-14 12-15 13-16 2-1 3-4 4-5 5-6 6-7 7-10 8-8 8-9 9-11
116	0-0 0-1 1-6 10-12 11-14 2-4 3-5 4-7 5-8 6-9 7-10 8-11 9-13
117	0-0 1-1 10-16 2-2 3-3 4-6 5-5 6-7 7-8 8-11 9-12
118	0-0 1-1 10-10 11-13 12-12 13-14 2-2 3-4 4-11 5-6 6-7 7-8 8-9 9-5
119	0-3 1-4 2-5 3-6 4-7 4-9 5-11 6-13 7-14
120	0-0 1-1 10-14 11-16 12-17 2-3 2-5 3-6 4-7 5-8 6-9 7-10 8-11 9-13
121	0-2 1-4 10-16 11-18 3-0 3-7 4-8 5-10 6-11 7-12 8-13 9-15
122	0-0 1-1 10-16 11-18 11-19 12-3 13-20 2-2 3-4 4-5 4-6 5-7 6-12 6-9 7-13 8-14 9-15
123	0-0 1-2 10-14 10-16 11-17 12-19 13-20 2-3 3-4 4-5 5-6 6-7 6-9 7-10 8-11 9-12
124	0-0 1-1 2-2 3-3 4-4 5-5 6-6
125	0-0 1-2 2-6 3-9 4-10 5-11 6-12 7-14 7-16
126	0-0 1-1 1-2 10-16 11-17 12-4 13-18 2-3 3-6 3-7 4-8 5-9 6-10 6-12 7-13 8-14 9-15
127	0-0 1-1 2-2 4-7 5-3 6-5 7-8
128	0-0 1-1 2-3 3-4 4-6 5-7 6-8 7-11 8-9
129	0-0 1-1 2-3 3-4 4-5 4-8 5-6 6-7 7-11 8-3 9-12
130	0-0 1-1 10-9 11-10 12-11 13-8 14-15 3-4 3-5 4-2 6-6 7-12 8-13 9-14
131	0-0 1-1 10-10 11-11 12-12 13-9 14-18 2-2 3-3 4-4 5-6 6-5 7-8 8-13 9-15 9-17
132	0-2 1-1 10-10 2-0 3-3 4-4 5-5 6-6 7-7 8-9 9-8
133	0-0 1-1 10-17 10-19 11-13 12-20 2-2 3-4 3-5 3-7 4-8 5-9 6-10 7-12 8-14 9-15
134	0-0 1-1 1-3 10-12 2-5 3-6 4-7 5-8 6-9 7-10 8-11 9-5
135	0-0 1-1 10-10 11-13 12-11 13-14 2-2 5-3 7-6 8-8 9-9
136	0-3 1-1 1-2 10-21 11-20 12-22 13-24 13-25 2-4 3-11 3-6 4-12 5-13 6-14 7-15 8-17 9-18
137	0-0 0-1 1-3 10-14 11-15 12-16 13-4 14-25 3-22 4-24 5-21 6-19 6-20 7-6 8-7 9-12 9-13
138	0-0 1-1 10-3 11-14 2-2 3-4 4-8 5-5 5-7 6-10 6-9 7-11 8-13 9-12
139	0-0 1-1 10-16 11-17 12-18 12-19 13-9 14-20 2-2 3-3 3-5 3-7 4-8 5-10 6-11 7-12 8-13 9-14 9-15
140	0-1 1-0 11-18 2-2 3-4 3-6 6-9 7-10 8-17 9-11 9-14
